供应商ID,材料分类,有效周数,供货量均值,CV,平均满足率,OFV,OFR,缺货周数,SRI,CA,PCI,综合得分
S229,A,240,1478.6958333333334,31.682662307621325,0.9944260545209255,0.06853797600504533,98.32113036108757,3,0.02098587048640538,100.0,2469.4220416666667,0.9528638813780684
S361,C,240,1367.0,29.463591803122146,0.9920536744191552,0.07333116097121807,98.10497462903206,4,0.03158375618279892,100.0,1900.1299999999999,0.888621415859977
S108,B,240,1003.9583333333334,122.05755247290074,0.9840828685346856,0.13056289816710845,88.38475565952587,9,0.43557166276777987,100.0,1526.0166666666667,0.8287269483441964
S282,A,240,705.5833333333334,54.816849527438315,1.0091801349635758,0.016816472338326005,99.8700535806469,1,0.0005414434139713168,100.0,1178.3241666666668,0.8157088063045213
S275,A,240,660.6375,17.483819469725617,1.0033928880277727,0.017514042267461463,99.63262725260829,1,0.0015307197807988197,100.0,1103.264625,0.8099496045848955
S329,A,240,652.1583333333333,18.287921036290808,1.001919699889979,0.023182880034541376,99.47169811320755,5,0.011006289308176102,100.0,1089.1044166666666,0.8083856581332463
S340,B,240,714.275,22.34245516711331,0.9992937072409377,0.04346569164110902,99.08488372093022,7,0.026690891472868218,100.0,1085.6979999999999,0.8072118660363768
S131,B,240,572.9666666666667,25.461532252284126,0.993200500140655,0.07609774355143507,97.91578479132737,11,0.09552653039749559,100.0,870.9093333333334,0.7856527703262154
S268,C,240,540.775,13.108118846000691,1.0035112298404212,0.023233273636644007,99.51379763469119,6,0.012155059132720105,100.0,751.67725,0.7780291808055131
S306,C,240,525.4,22.089787801796497,1.0045974070563566,0.023833601890258765,99.48360916613622,5,0.010758142372162105,100.0,730.3059999999999,0.7758493005911146
S356,C,240,542.9458333333333,65.23812260338285,1.00261364149746,0.07722399090753075,97.51153741742829,9,0.09331734684643923,100.0,754.6947083333333,0.7732908956932544
S352,A,240,370.9625,38.95620121369722,1.0015341678818328,0.06958307940745766,98.60022396416574,9,0.05249160134378499,100.0,619.5073749999999,0.7638617321630332
S194,C,240,422.3541666666667,13.809698633750541,1.0019603398042958,0.044143622279554144,99.01163937660287,8,0.032945354113237325,100.0,587.0722916666666,0.7631112177653939
S330,B,240,569.3833333333333,118.33063622736213,0.9855901346256867,0.1379714281014405,78.43045438779049,10,0.898731067175396,100.0,865.4626666666667,0.7537784296859662
S151,C,240,810.4083333333333,225.175229535068,0.983328206139626,0.1416442768063188,72.61416081948144,7,0.7987536427651246,100.0,1126.4675833333333,0.7524238558103301
S308,B,240,570.825,95.54900027185384,0.9745200123949475,0.16785672797317597,73.00432686629661,14,1.5747475994660314,100.0,867.6540000000001,0.7438127805758576
S247,C,240,236.24166666666667,14.054809334234406,1.0139391140666183,0.029745367746397834,99.39642857142857,5,0.01257440476190476,100.0,328.3759166666666,0.7427121250574613
